Fund Manager,Fund Name,Fund Code,Inception Date,Fund Category,Fund Short Name,Subcategory,Fund Objective,Fund Benchmark,Risk Category,Inception Price,Unit Holder,Investment %
SNB Capital,SNB Capital Al Raed Saudi Equity Fund,9018,15-DEC-02,Equity Funds - Local,Al Raed,Shari'ah Compliant,Growth,S&P Saudi Arabia Shariah Domestic Price in Local Currency Index,,0,0,0
SNB Capital,SNB Capital Arab Markets Equity Fund,9025,15-DEC-03,Equity Funds - Arabian,Arab Markets Equity,-,Growth,S&P Pan Arab Composite (TR),,0,0,0
SNB Capital,SNB Capital China Equity Fund,9027,01-JUN-05,Equity Funds - Asian,China,-,To achieve long-term capital growth through long term investments in China shares,MSCI China Index,,0,0,0
SNB Capital,SNB Capital Al-Raed GCC Fund,9028,08-OCT-06,Equity Funds - GCC,Al Raed GCC,Shari'ah Compliant,Growth,S&P GCC Composite Shariah index,,0,0,0
SNB Capital,SNB Capital Al Musahem GCC Fund,9029,08-OCT-06,Equity Funds - GCC,Al Musahem GCC,-,Growth,S&P GCC Composite Index,,0,0,0
SNB Capital,SNB Capital Real Estate Fund,9030,01-FEB-07,Real Estate Funds,Real State,-,Medium to long-term capital growth through investments mainly in acquisition developing and selling residential commercial and industrial lands and existing buildings. Investment in real estate private equity and investing in shares of listed local real estate companies as well as purchase of shares of local real estate companies as stipulated by the Shariah Supervisory Board.,SAUDI SUKUK & REAL ESTATE TASI,,0,0,0
SNB Capital,SNB Capital Al Ataa Saudi Equity Fund,9033,04-JUN-11,Equity Funds - Local,Al Ataa,Shari'ah Compliant,Growth,S&P Saudi Arabia Shariah Domestic Price in Local Currency Index,,0,0,0
SNB Capital,SNB Capital Global Equity Fund,9038,26-SEP-11,Equity Funds - European,Global Equity,-,The objective of the Fund is long-term capital growth through investment in global equity markets,MSCI ACWI Index,,0,0,0
SNB Capital,SNB Capital Al Ataa GCC Equity Fund,9040,26-NOV-15,Equity Funds - GCC,Al Ataa GCC Fund,Shari'ah Compliant,Growth,S&P GCC Composite Shariah Index,,0,0,0
SNB Capital,SNB Capital Al Jood GCC Equity Fund,9042,31-MAY-17,Equity Funds - GCC,Al Jood GCC,Shari'ah Compliant,Growth,S&P GCC Composite Shariah Index,,0,0,0
SNB Capital,SNB Capital Sovereign Sukuk Fund - Class A,9043,18-APR-19,Bond/ Debt Funds - Local,SNB Sukuk A,Shari'ah Compliant,The objective of the Fund is long-term capital growth through,SIBOR 3 MONTHS,,0,0,0
SNB Capital,SNB Capital Sovereign Sukuk Fund - Class B,9044,18-APR-19,Bond/ Debt Funds - Local,SNB Sukuk B,Shari'ah Compliant,The objective of the Fund is long-term capital growth,SIBOR 3 MONTHS,,0,0,0
SNB Capital,SNB Capital Corporates Sukuk Fund - Class B,9045,31-AUG-20,Bond/ Debt Funds - Local,Corporates Sukuk B,Shari'ah Compliant,The objective of the Fund is long-term capital growth,60% - S&P GCC Sukuk Index and 40% - 30-day rolling average of the 1-month term SOFR rate,,0,0,0
SNB Capital,SNB Capital Corporates Sukuk Fund - Class A,9046,31-AUG-20,Bond/ Debt Funds - Local,Corporates Sukuk A,Shari'ah Compliant,The objective of the Fund is long-term capital growth,60% S&P GCC Sukuk Index and 40% 30-day rolling average of the 1-month term SOFR rate,,0,0,0
SNB Capital,SNB Capital Europe Index Fund,11012,29-MAR-99,Equity Funds - European,EIF,Shari'ah Compliant,SNB Capital Europe Index Fund is a Shariah compliant open-ended public index investment fund which aims to achieve capital growth over the long term. The Fund seeks to replicate as closely as possible before expenses the performance of the MSCI Europe Islamic MSeries Index (Net Total Return USD).,MSCI Europe Islamic M-Series Index (Net Total Return USD).,,0,0,0
SNB Capital,SNB Capital North America Index Fund,11017,29-MAR-99,Equity Funds - US,NAIF,Shari'ah Compliant,SNB Capital North America Index Fund is an open-ended index investment fund which aims to achieve capital growth over the long term. The Fund seeks to replicate as closely as possible before expenses the performance of the MSCI North America Islamic M-Series Index (Net Total Return USD),MSCI North America Islamic M-Series Index,,0,0,0
SNB Capital,SNB Capital Asia Pacific Index Fund,11023,25-MAY-20,Equity Funds - Asian,APIF,Shari'ah Compliant,SNB Capital Asia Pacific Index Fund is an open-ended index investment fund which aims to achieve capital growth over the long term. The Fund seeks to replicate as closely as possible before expenses the performance of the MSCI Pacific Islamic M-Series (Net Total Return USD).,MSCI Pacific Islamic M-Series (Net Total Return USD),,0,0,0
SNB Capital,SNB Capital Global Healthcare Fund,11024,30-OCT-00,Equity Funds - International/ Global,HCTEF,Shari'ah Compliant,SNB Capital Health Care Trading Equity Fund is an open-ended Sharia Complaint Fund which aims to achieve medium to long term capital growth by investing in globally listed equities of health care companies according to the Sharia Guidelines. The Fund seeks to achieve competitive returns during the medium to long term (3 years or more) through investing selectively in companies that have low debt ratios and comply with the Funds investment strategy,MSCI World Healthcare Islamic M-Series (Net Total Return Index),,0,0,0
SNB Capital,SNB Capital Multi-Asset Income Plus Fund,11038,13-JUN-13,Multi - Assets Funds,MAIPF,Shari'ah Compliant,Achieve medium to long term capital growth and offer a yield enhancement over Money Market Transactions and Fixed Income Instruments by investing in a variety of securities and instruments including money market Fixed Income Instruments and Other Investments,The Saudi Arabian Interbank Offered Rate (SAIBOR) for a period of 3&#13;months + seventy-five base points (0.75%),,0,0,0
SNB Capital,SNB Capital International Trade Fund,11040,02-MAR-87,Money Market Funds - International,ITF,Shari'ah Compliant,Capital Preservation,30-day rolling average of the 1 month US Dollar London Interbank Bid Rate (LIBID),,0,0,0
SNB Capital,SNB Capital Saudi Riyal Trade Fund,11041,03-APR-95,Money Market Funds - Local,SRTF,Shari'ah Compliant,Capital Preservation,30 days rolling average of the 1 month Saudi Riyal Interbank Bid Rate (SAIBID),,0,0,0
SNB Capital,SNB Capital Saudi Trading Equity Fund,11044,01-JUN-98,Equity Funds - Local,STEF,Shari'ah Compliant,SNB Capital Saudi Trading Equity Fund is an open-ended Investment Fund that aims to achieve long term capital growth through investing in companies listed on the Saudi stock markets that comply with Sharia Guidelines.,S&P Saudi Arabia Shariah Index,,0,0,0
SNB Capital,SNB Capital Freestyle Saudi Equity Fund,11046,12-JUN-15,Equity Funds - Local,AFSEF,Shari'ah Compliant,SNB Capital Freestyle Saudi Equity Fund is an open-ended Shariah-compliant Investment Fund with the objective of achieving long-term capital growth through active investment and management of a concentrated portfolio of Shariah-compliant companies in the Saudi equity market. The Fund will not make any distributions to unitholders. Instead capital gains and cash dividends will be reinvested.,S&P Saudi Arabia Shariah Index,,0,0,0
SNB Capital,SNB Capital GCC Growth and Income Fund,11049,31-OCT-11,Equity Funds - Local,GCCGIF,Shari'ah Compliant,SNB Capital GCC Growth and Income Fund is an open-ended Investment Fund that seeks to achieve long-term growth and income distribution through primarily investing in GCC Equity markets with good growth potential in earnings and cash flows in accordance with the Shariah guidelines issued by the Fund Shariah Committee.,S&P GCC Shariah Dividend Index,,0,0,0
SNB Capital,SNB Capital Multi-Asset Conservative Fund,11055,02-OCT-03,Multi - Assets Funds,AMCF,Shari'ah Compliant,SNB Capital Multi-Asset Conservative Fund is an open-ended Investment Fund which aims to achieve capital growth over the medium to long term with a focus as much as possible to preserve the capital by investing in a diversified portfolio of asset classes,The Fund does not have or follow any Benchmark. However the composite of 75% 1 month SAIBOR + 25% MSCI ACWI Islamic MSeries Net Total Return USD will be used for comparison with the Funds performance,,0,0,0
SNB Capital,SNB Capital Multi-Asset Moderate Fund,11056,02-OCT-03,Multi - Assets Funds,AMMF,Shari'ah Compliant,SNB Capital Multi-Asset Moderate Fund is an open-ended Sharia-compliant Fund aiming to achieve a balance between capital growth and capital preservation over the medium to long term by investing in a diversified portfolio of asset classes.,The Fund does not have nor follow any Benchmark. However the composite of 50% 1 month SAIBOR + 50% MSCI ACWI Islamic M-Series (Net Total Return USD) will be used for comparison with The Fund's performance,,0,0,0
SNB Capital,SNB Capital Multi-Asset Growth Fund,11057,02-OCT-03,Multi - Assets Funds,AMGF,Shari'ah Compliant,SNB Capital Multi-Asset Growth Fund is an open-ended Shariah-compliant Investment Fund seeking to achieve capital growth over the medium to long term by investing in a diversified portfolio of asset classes.,The Fund does not have or follow any Benchmark. However the composite of 25% 1 month SAIBOR + 75% MSCI ACWI Islamic M-Series (Net Total Return USD) will be used as a reference for comparison with the Fund performance.,,0,0,0
SNB Capital,SNB Capital Diversified US Dollar Fund,11073,01-OCT-03,Bond/ Debt Funds - International,DUSF,Shari'ah Compliant,Capital Preservation,80% of the (30) day rolling average of the (1) month USD London Interbank Bid Rate (LIBID) and 20% of the (30) day rolling average of the (5) year US Dollar bid swap rate,,0,0,0
SNB Capital,SNB Capital Diversified Saudi Riyal Fund,11074,03-OCT-03,Bond/ Debt Funds - Local,DSRF,Shari'ah Compliant,Income,80% of the 30 day rolling average of the 1 month Saudi Riyal Interbank Bid Rate (SAIBID) and 20% of the 30 day rolling average of the 5 year Saudi Riyal bid swap rate,,0,0,0
SNB Capital,SNB Capital GCC Trading Equity Fund,11076,02-OCT-05,Equity Funds - GCC,GCCTEF,Shari'ah Compliant,SNB Capital GCC Trading Equity Fund is an open-ended Investment Fund that seeks to achieve long-term capital growth through investing in companies listed in GCC stock markets that are compliant with the Shariah Guidelines. The Fund will not make any distributions to Unitholders. Instead capital gains and cash dividends will be reinvested.,S&P GCC Composite Shariah Index (TR),,0,0,0
SNB Capital,SNB Capital Sadaqqat Fund,11081,31-JAN-02,Money Market Funds - Saudi Riyal Murabaha,ASF,Shari'ah Compliant,Provide competitive market returns from Murabaha-based short-term Investments maintain capital and monthly liquidity and distribute monthly dividends to officially registered local charities.,1 month Saudi Arabian Interbank Offered Rate (SAIBID),,0,0,0
SNB Capital,SNB Capital Fund of REITs Fund,11082,18-DEC-17,Equity Funds - Local,Fund of REITs Fund,Shari'ah Compliant,Income,NCB Capital Saudi REITs Sariah Index,,0,0,0
SNB Capital,SNB Capital Saudi Small and Mid-Cap Equity Fund,11083,23-JUN-08,Equity Funds - Local,SMEF,Shari'ah Compliant,The SNB Capital Saudi Small and Mid-Cap Equity Fund is an open-ended Investment Fund that seeks to achieve long-term capital growth through Investments primarily in Saudi Small and MidCap companies listed on the Saudi Stock Exchange that comply with the Shariah Guidelines.,S&P Saudi Arabia Mid-Small (Total Return).,,0,0,0
SNB Capital,SNB Capital Emerging Markets Index Fund,11089,09-OCT-06,Equity Funds - International/ Global,EMIF,Shari'ah Compliant,SNB Capital Emerging Market Index Fund is an open-ended index investment fund which aims to achieve capital growth over the long term. The Fund seeks to replicate as closely as possible before expenses the performance of the MSCI EM Islamic M-Series (Net Total Return USD).,MSCI EM Islamic M-Series (Net Total Return USD),,0,0,0
SNB Capital,SNB Capital Global REITs Fund,11092,31-DEC-07,Real Estate Funds,GREIF,Shari'ah Compliant,SNB Capital Global REITs Fund is an open-ended fund seeking to generate return and capital appreciation in the long term through investing primarily in the securities of listed Real Estate Investment Trusts known as REITs which own and operate income generating real estate properties across the globe. In addition the Fund has the right to invest in local and global equity in real estate sector or real estate development sector,IdealRatings Global REITs Index (REITs),,0,0,0
SNB Capital,AlAhli SEDCO Residential Development Fund,11095,28-APR-14,Real Estate Funds,SRDF,Shari'ah Compliant,The Funds investment objective is to provide Unitholders with capital gains on their investment through the Funds investment into the Projects.,Closed-ended Sharia compliant fund that invest in Saudi Real Estate sector,,1,813,0
SNB Capital,SNB Capital Global Sukuk Fund,11097,09-MAR-10,Bond/ Debt Funds - International,USDSF,Shari'ah Compliant,SNB Capital US Dollar Sukuk Fund is a Shariah compliant open-ended investment fund which aims to provide competitive returns through investing in Sukuk Murabaha transactions and other Shariah compliant Fixed Income Instruments.,10% of the 30 day rolling average of the 1 month USD London Interbank Bid Rate (LIBID) and 90% of the S&P Dow Jones Sukuk Total Return Index,,0,0,0
SNB Capital,SNB Capital - King Saud University Waqf Fund,11099,01-AUG-21,Multi - Assets Funds,KSUWF,Shari'ah Compliant,Capital Preservation,(15% 1M SAIBID) + (30% Dow Jones Sukuk Index TR) + (15% MSCI ACWI Islamic Composite M Series NTR USD) + (10% IdealRatings Global REITs) + (30% (3M Libor + 350bps)).,,0,0,0
SNB Capital,SNB Capital GCC Financial Sector Fund,11134,22-MAR-23,Equity Funds - GCC,GCC Financial Sector Fund,-,Growth,S&P GCC Composite Financials TR in USD Sector,,0,0,0
SNB Capital,SNB Capital Global Megatrends Fund,11161,08-SEP-22,Equity Funds - International/ Global,SGMF,-,SNB Capital Global Megatrends Fund is an open-ended fund which aims to achieve long-term capital growth through investing in an expected growth sectors and contribute to global transformation.,MSCI ACWI Index (Net Total Return USD).,,0,0,0
Al Rajhi Capital,Al Rajhi Saving and Liquidity Fund - USD,12001,14-DEC-90,Money Market Funds - Foreign Currency Murabaha,Saving and Liquidity - USD,Shari'ah Compliant,Achieve steady capital appreciation by generating reasonable returns and provide liquidity thereon through direct/indirect investment in Shariah compliant short-term trading instruments denominated in US $.,Term SOFR 1M,,0,0,0
Al Rajhi Capital,Al Rajhi Saudi Equity Fund,12002,05-AUG-92,Equity Funds - Local,Saudi Equity Fund,Shari'ah Compliant,To achieve long term capital appreciation by investing in shares of Shariah compliant companies listed on the Saudi Stock Exchange (Tadawul). The Fund also provides liquidity to the investors.,S & P Saudi Shariah Index,,100,4068,0
Al Rajhi Capital,Al-rajhi Global Equity Fund,12003,27-JUL-96,Bond/ Debt Funds - Local,Global Equity F,Shari'ah Compliant,Al-Rajhi Global Equity Fund is an open-ended fund that aims to achieve long-term capital growth by investing mainly in global market shares that are in compliance with the regulations of the Sharia Board of the fund.,Dow Jones Islamic Market TR Index,,0,0,0
Al Rajhi Capital,Al Rajhi Balanced Fund,12009,28-NOV-98,Funds of Funds,Balanced fund,Shari'ah Compliant,Al Rajhi Balanced Fund is an open-ended fund that aims to achieve a balance between capital preservation and capital development by distributing assets in funds in various securities categories that are in line with the fund's Sharia controls.,Composite Index (75% of SAIBOR 3 Months + 12.5% Dow Jones Islamic Market TR Index + 2.50% S&P GCC Shariah Composite Index + 10.00% S&P Saudi Shariah Index),,0,0,0
Al Rajhi Capital,Al Rajhi Growth Fund,12010,21-NOV-98,Funds of Funds,Growth Fund,Shari'ah Compliant,Al Rajhi Growth Fund is an open-ended fund that aims to achieve a balance between capital preservation and capital development by distributing assets in funds in various securities categories that comply with the fund's Sharia controls.,Composite Index (40% of SAIBOR 3 Months + 30% Dow Jones Islamic Market TR Index + 6% S&P GCC Shariah Composite Index + 24% S&P Saudi Shariah Index),,0,0,0
Al Rajhi Capital,Al Rajhi Saving and Liquidity Fund - SAR,12013,11-JUN-00,Money Market Funds - Local,Saving and Liquidity - SAR,Shari'ah Compliant,Achieve steady capital appreciation by generating reasonable returns and provide liquidity thereon through direct/indirect investment in Shariah compliant short-term trading instruments denominated in Saudi Riyals.,SAIBOR 3 Months Index,,0,0,0
Al Rajhi Capital,Al-Rajhi GCC Equity Fund,12021,16-OCT-05,Equity Funds - GCC,GCC Equity F,Shari'ah Compliant,Al-Rajhi GCC Equity Fund is an open-ended fund that aims to achieve long-term capital growth by investing mainly in Gulf market stocks that are in compliance with the regulations of the Sharia Board of the fund.,S&P GCC Shariah Composite Index,,0,0,0
Al Rajhi Capital,Al Rajhi Materials Sector Equity Fund,12023,11-NOV-07,Equity Funds - Local,Materials Sector,Shari'ah Compliant,Al-Rajhi Materials Sector Equity Fund is an open-ended fund prepared in accordance with the provisions of the investment funds regulations issued by the Board of the Capital Market Authority in the Kingdom of Saudi Arabia in line with the Sharia regulations approved by the Sharia committee in charge of the fund.,S&P Saudi Shariah Composite Index Al Rajhi Materials Sector Index Calculated by S&P Custom Indices,,0,0,0
Al Rajhi Capital,Al Rajhi Arab Equity Markets Fund,12027,17-MAR-12,Equity Funds - Arabian,Arab Equity Markets,Shari'ah Compliant,Al Rajhi Arab Equity Markets Fund is an open-ended fund that invests in shares of Sharia-compliant companies among the companies listed in the Gulf markets mainly and the Middle East and North Africa markets in a secondary way.,S&P MENA Shariah Dividend Growth Index,,0,0,0
Al Rajhi Capital,Al Rajhi Conservative Fund,12028,02-JUL-11,Funds of Funds,Conservative Fund,Shari'ah Compliant,Al Rajhi Conservative Fund is an open-ended fund that aims to achieve a balance between capital preservation and capital development by distributing assets in funds in various securities categories that comply with the fund's Sharia controls.,Composite Index (85% of SAIBOR 3 Months + 6% Dow Jones Islamic Market TR Index + 3% S&P GCC Shariah Composite Index + 6.00% S&P Saudi Shariah Index),,0,0,0
Al Rajhi Capital,AL-RAJHI Sukuk Fund,12036,14-SEP-14,Bond/ Debt Funds - Local,AL-RAJHI Sukuk,Shari'ah Compliant,Al-Rajhi Sukuk Fund is an open-ended fund that aims to achieve capital and income growth in the medium and long term by investing in investment tools that are compatible with the Sharia regulations approved by Al-Rajhi  Financial which consists of:  Sukuk  Merchandise Murabaha  Investments in Islamic accounts  Islamic composite products  Money market funds and instruments and debt instruments of public offering.,3 month USD Libor + 75 bps,,0,0,0
Al Rajhi Capital,Al Rajhi Growth and Dividends Fund,12038,26-JAN-16,Equity Funds - Local,Growth and Dividends,Shari'ah Compliant,Achieve total return through the integration of current income with capital appreciation by investing in shares of Shariah compliant companies listed on the Saudi Stock Exchange (Tadawul) with a focus on high dividend yielding companies.,S&P Saudi Arabia Shariah Dividend Custom index,,0,0,0
Al Rajhi Capital,Al Rajhi MSCI Saudi Multi Factor Index Funds,12044,20-JAN-19,Equity Funds - Local,Al Rajhi MSCI Index Fund,Shari'ah Compliant,Al-Rajhi MSCI Saudi Multi factor Index Fund is an open-ended fund that aims to achieve medium to long-term capital growth by tracking the performance of the MSCI Saudi Equity Multi factor Index compliant with the regulations of the Sharia Board of the Fund.,MSCI Saudi IMI Domestic ex-client defined exclusion Diversified Factor Mix index. A diversified factor mix custom index calculated by MSCI based on the stock exclusions defined by ARC. It will be referred to as the (MSCI Saudi Multi-Factor Index),,0,0,0
Al Rajhi Capital,Al Rajhi Freestyle Saudi Equity Fund,12047,15-SEP-21,Equity Funds - Local,Freestyle Saudi Equity,Shari'ah Compliant,Al Rajhi Freestyle Saudi Equity Fund is an open ended public investment fund which aims to achieve high capital growth over the medium to long term by actively managing a concentrated portfolio of selected stocks listed on the Saudi Stock Exchange IPOs rights issue and Real Estate Investment Trusts REITs in accordance with the Funds Shariah guidelines.,S&P Saudi Shariah TR Index,,0,0,0
Al Rajhi Capital,Health Awqaf Fund,12048,21-AUG-22,Multi - Assets Funds,Health Awqaf,Shari'ah Compliant,Enhancing the developmental role of endowments in supporting the establishment of endowment health entities and projects through the development and investment of the Funds assets For the societal participation of members of society in the non-profit development investment and the effective contribution to nd protect it from extinction and encouragement&#13;Achieving the principle of social solidarity in a way that benefits the endowment banks the endowed asset and the health stability of the members of society. and be&#13;The role of the fund manager in investing assets in all asset classes of diversified risks in order to achieve the developmental goal of the suspended capital&#13;On the Health Endowment Association its activities and endowment projects ith a distribution (endowment yield) of no less than 65% of the net profit annually&#13;Health in all its forms and types studies and research related to health endowments.,1. Cyber 3 months 60% 2. Standard and Poors index of real estate maintenance 3. Standards & Poors Index of Saudi Stocks Contracting with Sharia Regulations 15%,,0,0,0
Al Rajhi Capital,Al Rajhi Monthly Distribution Fund,12049,05-SEP-22,Multi - Assets Funds,Monthly Distribution,Shari'ah Compliant,Al-Rajhi Fund for Monthly Distributions is an open-ended investment fund that aims to distribute income on a monthly basis by investing in securities&#13;Income-producing financial instruments such as stocks exchange traded funds real estate traded funds debt instruments fixed income and money market instruments&#13;Compliant with the controls of the Shariah Supervisory Committee.,Standard & Poors Shares Index of Saudi Dividends Compliant with Islamic Sharia&#13;Yield Price Index Standard & Poors Real Estate Index&#13;price index return price,,0,0,0
Al Rajhi Capital,Shifa Health Endowment Fund,12050,30-MAY-23,Multi - Assets Funds,Shifa Fund,Shari'ah Compliant,Encouraging voluntary community participation in non-profit development investment and effective contribution under the concept of social solidarity to participate in supporting the Al-Shifa Health Endowment around the Kingdom of Saudi Arabia to develop and invest its assets in the fund in order to enhance its value and develop the endowed capital for the endowment banks including treatment of needy patients provision of health services and insurance The fund manager's participation in investing assets in all asset classes will be of a variety of risks in a way that achieves the developmental goal of the endowed capital with the endowment yield distributed over the healthy endowment at least 70% of the annual net profits.,1. Cyber 3 months 60% 2. Standard and Poors index of real estate maintenance 3. Standards & Poors Index of Saudi Stocks Contracting with Sharia Regulations 15%,,0,0,0
Al Rajhi Capital,Autism Associations Endowment Fund,12051,10-AUG-23,Multi - Assets Funds,Autism Associations Endowment,Shari'ah Compliant,Encouraging voluntary community participation in non-profit development investment and effective contribution under the concept of social solidarity to participate in supporting Autism Associations throughout the Kingdom of Saudi Arabia to develop and invest their assets in the fund in order to enhance their value and develop the endowed capital for the benefit of community members with autism spectrum disorder and medical care services and health stability to enhance their quality of life and the lives of their families.,60% SAIBOR 3 Months + 25% S&P Saudi REITs Index + 15% S&P Saudi Equity Index,,0,0,0
Al Rajhi Capital,Eastern Region Associations Endowment Fund,12052,10-AUG-23,Multi - Assets Funds,Eastern Region Associations Endowment,Shari'ah Compliant,Encouraging voluntary community participation in non-profit development investment and effective contribution under the concept of social solidarity to participate in supporting the Eastern Region Associations throughout the Kingdom of Saudi Arabia to develop and invest their assets in the fund in order to enhance their value and develop the endowed capital for the benefit of community members in the Eastern Region by providing Health and social services Dawah and Guidance care for people in need and other services and support to enhance the quality of life.,60% SAIBOR 3 Months + 25% S&P Saudi REITs Index + 15% S&P Saudi Equity Index,,0,0,0
Al Rajhi Capital,Doyof Al Rahman Associations Endowment Fund,12053,10-AUG-23,Multi - Assets Funds,Doyof Al Rahman Associations Endowment,Shari'ah Compliant,Encouraging voluntary community participation in non-profit development investment and effective contribution under the concept of social solidarity to participate in supporting Pilgrims Associations throughout the Kingdom of Saudi Arabia to develop and invest their assets in the fund in order to enhance their value and develop the endowed capital to return on the community members of pilgrims by providing subsistence services Dawah and Guidance services and support for the pilgrims in both Makkah and Madinah which contributes to improving their experience and facilitating their journey.,60% SAIBOR 3 Months + 25% S&P Saudi REITs Index + 15% S&P Saudi Equity Index,,0,0,0
Al Rajhi Capital,Quran Kareem Associations Endowment Fund,12054,10-AUG-23,Multi - Assets Funds,Quran Kareem Associations Endowment,Shari'ah Compliant,Encouraging voluntary community participation in non-profit development investment and effective contribution under the concept of social solidarity to participate in supporting the Holy Quran Memorization Associations throughout the Kingdom of Saudi Arabia to develop and invest their assets in the fund in order to enhance their value and develop the endowed capital for the benefit of community members through the services of teaching the Holy Quran memorizing it and learning to live by it and developing educational facilities and programs for all segments of society.,60% SAIBOR 3 Months + 25% S&P Saudi REITs Index + 15% S&P Saudi Equity Index,,0,0,0
Al Rajhi Capital,Orphans Associations Endowment Fund,12055,10-AUG-23,Multi - Assets Funds,Orphans Associations Endowment,Shari'ah Compliant,Encouraging voluntary community participation in non-profit development investment and effective contribution under the concept of social solidarity to participate in supporting Orphan Associations throughout the Kingdom of Saudi Arabia to develop and invest their assets in the fund in order to enhance their value and develop the endowed capital in a way that benefits the community members from the orphans and provides care training and rehabilitation services and empowers them morally socially and functionally to enhance the quality of their lives and the lives of their families.,60% SAIBOR 3 Months + 25% S&P Saudi REITs Index + 15% S&P Saudi Equity Index,,0,0,0
Al Rajhi Capital,Al Rajhi Inclusion Fund,12056,16-AUG-23,Equity Funds - Local,Inclusion Fund,Shari'ah Compliant,The fund will provide investors the advantage of active and experienced management to mainly invest in Shariah compliant companies listed in the Saudi stock market that have the inclusion opportunities to global indices as well as participating and investing in IPOs Right Issues and the Rump offerings of listed companies in the Saudi stock market. In addition to real estate funds mutual funds and any other type of investment in-line with funds strategy.,S&P Saudi Shariah Index,,0,0,0
Al Rajhi Capital,Al Rajhi Momentum Fund,12057,29-AUG-23,Equity Funds - Local,Al Rajhi Momentum,Shari'ah Compliant,Al Rajhi Momentum Fund is a public open-ended investment fund which aims to achieve capital appreciation by investing mainly in listed companies in the Saudi stock markets with high liquidity opportunities in compliance with the Sharia regulations approved by the Sharia Board of the Fund.,S&P Saudi Shariah Index,,0,0,0
Al Rajhi Capital,Health Associations Endowment Fund,12058,03-SEP-23,Multi - Assets Funds,Health Associations Endowment,Shari'ah Compliant,Encouraging voluntary community participation in non-profit development investment and effective contribution under the concept of social solidarity to participate in supporting Health Associations throughout the Kingdom of Saudi Arabia to develop and invest their assets in the fund in order to enhance their value and develop the endowed capital so as to benefit the members of society who are ill and provide health and rehabilitation programs and services and development of new health facilities training and development for medical personnel and volunteers.,60% SAIBOR 3 Months + 25% S&P Saudi REITs Index + 15% S&P Saudi Equity Index,,0,0,0
Al Rajhi Capital,Al Rajhi Monthly Distribution Fund 2,12059,18-SEP-23,Multi - Assets Funds,Al Rajhi Monthly Distribution 2,Shari'ah Compliant,Al Rajhi Monthly Distribution Fund 2 is an open-ended investment fund that aims to distribute income on a monthly basis by investing in securities Income-producing financial instruments such as stocks exchange traded funds real estate traded funds debt instruments fixed income and money market instruments Compliant with the controls of the Shariah Supervisory Committee.,Composite Index (30% of SAIBOR 6 Months + 40% S&P Saudi Shariah Index + 30% S&P Saudi Shariah REITs),,0,0,0
Al Rajhi Capital,Al Rajhi Mid/Small-Cap Fund,12060,11-OCT-23,Equity Funds - Local,Al Rajhi Mid/Small-Cap,Shari'ah Compliant,Al Rajhi Mid/Small-Cap Fund is an open investment fund that aims to achieve capital growth by investing primarily in equities of small and medium enterprises (SMEs) listed on the Saudi stock markets (the main market and the parallel market Nomu) in a manner that complies with Sharia controls approved by the Sharia Board.,S&P Saudi Arabia Midsmall Shariah Index TR.,,0,0,0
Al Rajhi Capital,Al Rajhi Real Estate Monthly Distributions Fund,12061,10-DEC-23,Multi - Assets Funds,Real Estate Monthly Distributions,Shari'ah Compliant,The Multi Asset Strategy fund aims to provide investors a monthly income distribution through investing mainly in REITs and Real Estate Companies in addition to any other investments in-line with the funds objective including Money Market Fixed Income and Close ended Real Estate funds.,S&P Saudi Arabia Domestic Real Estate Shariah (LCL) TR,,0,0,0
ALBILAD Investment Co,Albilad Pure Saudi Equity Fund,14001,29-DEC-05,Equity Funds - Local,Albilad,Shari'ah Compliant,Long term capital growth through investment in Saudi shares,Albilad_Capital_Saudi_pure by IdealRating,,1,0,0
ALBILAD Investment Co,Albilad Kuwait Equity Fund,14002,01-JAN-06,Equity Funds - GCC,Albilad Kuwait Equity,Shari'ah Compliant,Achieving capital growth over the long term through investment in shares of high potential companies with attractive strengths and excellent performance in Kuwait stock exchange.,Albilad_Capital_Kuwait by IDEAL RATING,,1,0,0
ALBILAD Investment Co,Albilad SAR Murabaha Fund,14003,01-JAN-06,Money Market Funds - Saudi Riyal Murabaha,Albilad SAR Murabaha,Shari'ah Compliant,Protect investment principal and to achieve reasonable return by way of Murabaha based transactions that do not conflict with Sharia rules and Sukuk.,SIBOR 1 Months,,1,0,0
ALBILAD Investment Co,Albilad Saudi Equity Income Fund,14008,03-JUN-12,Equity Funds - Local,Albilad Saudi Equity Income,Shari'ah Compliant,Long term capital growth and periodical distribution of returns,Albilad_Capital_Saudi_Dividend by IDEAL RATING,,1,0,0
ALBILAD Investment Co,Albilad GCC Equity Income Fund,14009,01-JUN-14,Equity Funds - GCC,Albilad GCC Equity Income,Shari'ah Compliant,Long term capital growth and periodical distribution of returns,Albilad_Capital_GCC_Dividendss by IDEAL RATING,,1,0,4.31
ALBILAD Investment Co,ALBILAD FUND OF REIT FUND,14010,06-MAY-18,Funds of Funds,ALBILAD FUND OF REIT FUND,Shari'ah Compliant,to develop capital over the medium and long term as well as the distribution of half-yearly profits,,,10,0,0
ALBILAD Investment Co,Ensan Endowment Fund,14012,27-NOV-19,Multi - Assets Funds,Insan Fund,Shari'ah Compliant,Long term capital growth through investment in Saudi shares,Albilad_Capital_Saudi_pure by IdealRating,,10,0,0
